shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0570815,-79.4436869,431,2033.63
SA_R1,9.0570815,-79.4436869,432,2033.63
SA_R1,9.0570815,-79.4436869,433,2033.63
SA_R1,9.0570815,-79.4436869,434,2033.63
SA_R1,9.0570815,-79.4436869,435,2033.63
SA_R1,9.0570815,-79.4436869,436,2033.63
SA_R1,9.0570815,-79.4436869,437,2033.63
SA_R1,9.0570815,-79.4436869,438,2033.63
SA_R1,9.0570815,-79.4436869,439,2033.63
SA_R1,9.0570782,-79.4436827,440,2034.21
SA_R1,9.057084,-79.4436668,441,2036.07
SA_R1,9.057091,-79.4436429,442,2038.81
SA_R1,9.0571056,-79.4436135,443,2042.41
SA_R1,9.0571265,-79.4435729,444,2047.45
SA_R1,9.0571523,-79.443526,445,2053.35
SA_R1,9.0571851,-79.4434742,446,2060.09
SA_R1,9.0572251,-79.4434174,447,2067.76
SA_R1,9.0572624,-79.4433532,448,2075.94
SA_R1,9.0573121,-79.4432793,449,2085.76
SA_R1,9.0573635,-79.443203,450,2095.9
SA_R1,9.0574169,-79.4431251,451,2106.31
SA_R1,9.0574617,-79.4430442,452,2116.49
SA_R1,9.0575214,-79.4429598,453,2127.9
SA_R1,9.0575753,-79.4428963,454,2137.09
SA_R1,9.057618,-79.4428431,455,2144.62
SA_R1,9.0576504,-79.442801,456,2150.48
SA_R1,9.0576706,-79.4427767,457,2153.97
SA_R1,9.0576833,-79.4427564,458,2156.6
SA_R1,9.0576946,-79.4427362,459,2159.15
SA_R1,9.057705,-79.4427223,460,2161.07
SA_R1,9.057715,-79.4427067,461,2163.11
SA_R1,9.0577287,-79.4426884,462,2165.64
SA_R1,9.0577481,-79.4426599,463,2169.43
SA_R1,9.057779,-79.4426257,464,2174.53
SA_R1,9.0578209,-79.4425878,465,2180.77
SA_R1,9.0578573,-79.4425415,466,2187.27
SA_R1,9.0579073,-79.4424916,467,2195.07
SA_R1,9.057956,-79.4424387,468,2203.02
SA_R1,9.0580102,-79.4423857,469,2211.4
SA_R1,9.0580643,-79.4423409,470,2219.17
